gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1200:123f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1240:127f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1240:127f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1280:12bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1280:12bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [12c0:12ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [12c0:12ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1300:133f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1300:133f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1340:137f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1340:137f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1380:13bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1380:13bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [13c0:13ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [13c0:13ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1400:143f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1400:143f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1440:147f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1440:147f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [1480:14bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [1480:14bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [14c0:14ff]
